Location,Population,Density (people/km²),Urbanization (%),Average Income (USD),Education Level (% with Bachelor's or higher),DateTime,AQI,PM2.5,PM10,O3,NO2,SO2,CO,Altitude (m),Proximity to Industry (km)
Los Angeles,10039107,3276,89,60000,32,2024-01-01 03:00:00,3,36.92,49.4,0.0,81.57,5.54,1228.33,89,5.0
Los Angeles,10039107,3276,89,60000,32,2024-01-01 04:00:00,4,55.59,73.42,0.0,90.48,6.56,1588.82,89,5.0
Los Angeles,10039107,3276,89,60000,32,2024-01-01 05:00:00,4,68.05,89.88,0.0,94.59,6.97,1735.69,89,5.0
Los Angeles,10039107,3276,89,60000,32,2024-01-01 06:00:00,4,70.02,94.57,0.0,91.85,6.85,1668.93,89,5.0
Los Angeles,10039107,3276,89,60000,32,2024-01-01 07:00:00,4,60.97,86.3,0.0,83.63,6.56,1441.96,89,5.0
Los Angeles,10039107,3276,89,60000,32,2024-01-01 08:00:00,3,45.06,67.57,0.0,70.6,5.19,1121.52,89,5.0
Los Angeles,10039107,3276,89,60000,32,2024-01-01 09:00:00,3,31.58,49.73,0.0,58.26,4.41,854.49,89,5.0
Los Angeles,10039107,3276,89,60000,32,2024-01-01 10:00:00,2,24.31,38.56,0.0,48.67,3.99,694.27,89,5.0
Los Angeles,10039107,3276,89,60000,32,2024-01-01 11:00:00,2,21.06,32.64,0.0,43.53,4.05,620.84,89,5.0
Los Angeles,10039107,3276,89,60000,32,2024-01-01 12:00:00,2,20.46,30.45,0.0,41.13,4.47,587.46,89,5.0
Los Angeles,10039107,3276,89,60000,32,2024-01-01 13:00:00,2,21.82,31.05,0.0,41.81,4.77,574.11,89,5.0
Los Angeles,10039107,3276,89,60000,32,2024-01-01 14:00:00,3,25.95,35.94,0.0,43.87,4.71,640.87,89,5.0
Los Angeles,10039107,3276,89,60000,32,2024-01-01 15:00:00,3,39.61,53.56,0.0,50.72,4.83,921.25,89,5.0
Los Angeles,10039107,3276,89,60000,32,2024-01-01 16:00:00,4,58.63,78.1,0.1,60.32,5.07,1348.5,89,5.0
Los Angeles,10039107,3276,89,60000,32,2024-01-01 17:00:00,4,73.31,97.22,1.17,67.17,6.02,1668.93,89,5.0
Los Angeles,10039107,3276,89,60000,32,2024-01-01 18:00:00,5,81.84,108.44,2.66,73.34,7.99,1789.09,89,5.0
Los Angeles,10039107,3276,89,60000,32,2024-01-01 19:00:00,4,62.62,79.51,7.06,77.46,21.7,1161.58,89,5.0
Los Angeles,10039107,3276,89,60000,32,2024-01-01 20:00:00,4,72.69,89.37,15.74,95.96,31.47,1148.22,89,5.0
Los Angeles,10039107,3276,89,60000,32,2024-01-01 21:00:00,5,94.78,111.75,32.54,128.87,41.96,1134.87,89,5.0
Los Angeles,10039107,3276,89,60000,32,2024-01-01 22:00:00,5,106.74,123.86,55.79,143.95,49.11,988.01,89,5.0
